Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
10-11,Manchester United,38,23,11,4,78,37,41,80
10-11,Chelsea,38,21,8,9,69,33,36,71
10-11,Manchester City,38,21,8,9,60,33,27,71
10-11,Arsenal,38,19,11,8,72,43,29,68
10-11,Tottenham Hotspur,38,16,14,8,55,46,9,62
10-11,Liverpool,38,17,7,14,59,44,15,58
10-11,Everton,38,13,15,10,51,45,6,54
10-11,Fulham,38,11,16,11,49,43,6,49
10-11,Aston Villa,38,12,12,14,48,59,-11,48
10-11,Sunderland,38,12,11,15,45,56,-11,47
10-11,West Bromwich Albion,38,12,11,15,56,71,-15,47
10-11,Newcastle United,38,11,13,14,56,57,-1,46
10-11,Stoke City,38,13,7,18,46,48,-2,46
10-11,Bolton Wanderers,38,12,10,16,52,56,-4,46
10-11,Blackburn Rovers,38,11,10,17,46,59,-13,43
10-11,Wigan Athletic,38,9,15,14,40,61,-21,42
10-11,Wolverhampton Wanderers,38,11,7,20,46,66,-20,40
10-11,Birmingham City,38,8,15,15,37,58,-21,39
10-11,Blackpool,38,10,9,19,55,78,-23,39
10-11,West Ham United,38,7,12,19,43,70,-27,33
11-12,Manchester City,38,28,5,5,93,29,64,89
11-12,Manchester United,38,28,5,5,89,33,56,89
11-12,Arsenal,38,21,7,10,74,49,25,70
11-12,Tottenham Hotspur,38,20,9,9,66,41,25,69
11-12,Newcastle United,38,19,8,11,56,51,5,65
11-12,Chelsea,38,18,10,10,65,46,19,64
11-12,Everton,38,15,11,12,50,40,10,56
11-12,Liverpool,38,14,10,14,47,40,7,52
11-12,Fulham,38,14,10,14,48,51,-3,52
11-12,West Bromwich Albion,38,13,8,17,45,52,-7,47
11-12,Swansea City,38,12,11,15,44,51,-7,47
11-12,Norwich City,38,12,11,15,52,66,-14,47
11-12,Sunderland,38,11,12,15,45,46,-1,45
11-12,Stoke City,38,11,12,15,36,53,-17,45
11-12,Wigan Athletic,38,11,10,17,42,62,-20,43
11-12,Aston Villa,38,7,17,14,37,53,-16,38
11-12,Queens Park Rangers,38,10,7,21,43,66,-23,37
11-12,Bolton Wanderers,38,10,6,22,46,77,-31,36
11-12,Blackburn Rovers,38,8,7,23,48,78,-30,31
11-12,Wolverhampton Wanderers,38,5,10,23,40,82,-42,25
12-13,Manchester United,38,28,5,5,86,43,43,89
12-13,Manchester City,38,23,9,6,66,34,32,78
12-13,Chelsea,38,22,9,7,75,39,36,75
12-13,Arsenal,38,21,10,7,72,37,35,73
12-13,Tottenham Hotspur,38,21,9,8,66,46,20,72
12-13,Everton,38,16,15,7,55,40,15,63
12-13,Liverpool,38,16,13,9,71,43,28,61
12-13,West Bromwich Albion,38,14,7,17,53,57,-4,49
12-13,Swansea City,38,11,13,14,47,51,-4,46
12-13,West Ham United,38,12,10,16,45,53,-8,46
12-13,Norwich City,38,10,14,14,41,58,-17,44
12-13,Fulham,38,11,10,17,50,60,-10,43
12-13,Stoke City,38,9,15,14,34,45,-11,42
12-13,Southampton,38,9,14,15,49,60,-11,41
12-13,Aston Villa,38,10,11,17,47,69,-22,41
12-13,Newcastle United,38,11,8,19,45,68,-23,41
12-13,Sunderland,38,9,12,17,41,54,-13,39
12-13,Wigan Athletic,38,9,9,20,47,73,-26,36
12-13,Reading,38,6,10,22,43,73,-30,28
12-13,Queens Park Rangers,38,4,13,21,30,60,-30,25
13-14,Manchester City,38,27,5,6,102,37,65,86
13-14,Liverpool,38,26,6,6,101,50,51,84
13-14,Chelsea,38,25,7,6,71,27,44,82
13-14,Arsenal,38,24,7,7,68,41,27,79
13-14,Everton,38,21,9,8,61,39,22,72
13-14,Tottenham Hotspur,38,21,6,11,55,51,4,69
13-14,Manchester United,38,19,7,12,64,43,21,64
13-14,Southampton,38,15,11,12,54,46,8,56
13-14,Stoke City,38,13,11,14,45,52,-7,50
13-14,Newcastle United,38,15,4,19,43,59,-16,49
13-14,Crystal Palace,38,13,6,19,33,48,-15,45
13-14,Swansea City,38,11,9,18,54,54,0,42
13-14,West Ham United,38,11,7,20,40,51,-11,40
13-14,Sunderland,38,10,8,20,41,60,-19,38
13-14,Aston Villa,38,10,8,20,39,61,-22,38
13-14,Hull City,38,10,7,21,38,53,-15,37
13-14,West Bromwich Albion,38,7,15,16,43,59,-16,36
13-14,Norwich City,38,8,9,21,28,62,-34,33
13-14,Fulham,38,9,5,24,40,85,-45,32
13-14,Cardiff City,38,7,9,22,32,74,-42,30
14-15,Chelsea,38,26,9,3,73,32,41,87
14-15,Manchester City,38,24,7,7,83,38,45,79
14-15,Arsenal,38,22,9,7,71,36,35,75
14-15,Manchester United,38,20,10,8,62,37,25,70
14-15,Tottenham Hotspur,38,19,7,12,58,53,5,64
14-15,Liverpool,38,18,8,12,52,48,4,62
14-15,Southampton,38,18,6,14,54,33,21,60
14-15,Swansea City,38,16,8,14,46,49,-3,56
14-15,Stoke City,38,15,9,14,48,45,3,54
14-15,Crystal Palace,38,13,9,16,47,51,-4,48
14-15,Everton,38,12,11,15,48,50,-2,47
14-15,West Ham United,38,12,11,15,44,47,-3,47
14-15,West Bromwich Albion,38,11,11,16,38,51,-13,44
14-15,Leicester City,38,11,8,19,46,55,-9,41
14-15,Newcastle United,38,10,9,19,40,63,-23,39
14-15,Sunderland,38,7,17,14,31,53,-22,38
14-15,Aston Villa,38,10,8,20,31,57,-26,38
14-15,Hull City,38,8,11,19,33,51,-18,35
14-15,Burnley,38,7,12,19,28,53,-25,33
14-15,Queens Park Rangers,38,8,6,24,42,73,-31,30
15-16,Leicester City,38,23,12,3,68,36,32,81
15-16,Arsenal,38,20,11,7,65,36,29,71
15-16,Tottenham Hotspur,38,19,13,6,69,35,34,70
15-16,Manchester City,38,19,9,10,71,41,30,66
15-16,Manchester United,38,19,9,10,49,35,14,66
15-16,Southampton,38,18,9,11,59,41,18,63
15-16,West Ham United,38,16,14,8,65,51,14,62
15-16,Liverpool,38,16,12,10,63,50,13,60
15-16,Stoke City,38,14,9,15,41,55,-14,51
15-16,Chelsea,38,12,14,12,59,53,6,50
15-16,Everton,38,11,14,13,59,55,4,47
15-16,Swansea City,38,12,11,15,42,52,-10,47
15-16,Watford,38,12,9,17,40,50,-10,45
